1|9/29/2025 3:15:06 PM|Grad je veoma ziv, da li je neko imao iskustva sa dzeparenjem?|2
2|9/29/2025 7:22:15 PM|Ja nisam, necete se pokajati ako ga posjetite.|2
3|9/29/2025 7:23:44 PM|Naucite turski, jako su ljubazni kad cuju da znate njihov jezik.|2
4|9/30/2025 2:33:37 PM|Zasto je ovoliko ljudi i zgrada?|2
5|9/30/2025 2:34:09 PM|Preseli se na Himalaje onda...|2
6|9/30/2025 11:50:21 PM|Da li neko nesto preduzima po pitanju loseg vazduha?|2
7|9/30/2025 11:50:47 PM|Vazduh je odlican, ne lupaj pls.|2
8|10/1/2025 2:41:23 PM|Jezik generalno nije tezak, dosta rijeci smo preuzeli od njih. Ja sam lako savladao osnove uz turske serije.|2
9|10/1/2025 2:42:30 PM|Da li neko ima preporuku za vikendicu u blizini grada?|2
10|10/1/2025 2:43:02 PM|Bilo koji smestaj je povoljan, izbegavajte agencije.|2
